I apologize for the oversight in the numbering and continuity of the Short Answer questions in the previous response. Here is the complete and corrected list of 54 practice short answer questions, covering all necessary topics for your final exam.
Practice Short Answer Questions (54 Questions Total)
Topic 1: ML Introduction, Data, and Preprocessing (12 Questions)
ID
	Topic
	The highest value in the Fourier domain is the main periodicity in the data.
	T/F 128
	Transformation
	The Discrete Wavelet Transform (DWT) is similar to the Discrete Fourier Transform (DFT) but provides better lossy compression and is localized in space.
	True
	DWT is similar to DFT but offers better lossy compression and is localized in space.
	T/F 129
	Transformation
	The Haar Wavelet decomposition is efficient because its complexity is O(NlogN), similar to the Fast Fourier Transform.
	False
	The Haar Wavelet decomposition has a complexity of O(N), which is more efficient than the Fast Fourier Transform, which is O(NlogN).
	T/F 130
	Transformation
	The Haar Wavelet decomposition is known for being highly sensitive to the presence of noise and outliers.
	False
	Haar Wavelet decomposition offers effective removal of outliers and is insensitive to noise.
	T/F 131
	Transformation
	Log normalization is generally recommended for count data and is often used to compress the dynamic range of the data.
	True
	Log normalization compresses the dynamic range of non-negative data and is good for count data.
	T/F 132
	Transformation
	Min-max normalization maps attribute values to a specific range, such as [0.0, 1.0].
	True
	Min-max normalization scales values to a new range, [new_minA, new_maxA].
	T/F 133
	Transformation
	Z-score normalization ensures all features are standardized by centering (mean subtraction) and scaling (division by standard deviation).
	True
	Z-score normalization ensures features are standardized using centering (μ subtraction) and scaling (σ division).
	T/F 134
	Transformation
	TF-IDF normalization attempts to boost the importance of very frequent terms that might otherwise drown out less frequent but useful terms.
	False
	TF-IDF normalization handles the issue where very frequent terms can "drown" less frequent useful terms. The inverse document frequency (IDF) part specifically down-weights frequent terms found across many documents.
	T/F 135
	Transformation
	The term frequency weight (tf
ij
​
) measures the importance of a term in the entire collection of documents.
	False
	Term frequency weight measures the importance of a term in a document. Inverse document frequency (IDF) measures importance in the collection.
	T/F 136
	Data Cleaning
	An example of inconsistent data is when a dataset uses ratings "1, 2, 3" and is later updated to use ratings "A, B, C."
	True
	This describes a discrepancy in codes or names, which falls under inconsistent data.
	T/F 137
	Data Cleaning
	Intentional "dirty" data, such as disguised missing data (e.g., using Jan. 1 as everyone’s birthday), can be prone to occurring when using self-declared data.
	True
	Intentional or disguised missing data often occurs with self-declared data.
	T/F 138
	Data Integration
	Crowdsourcing platforms can be used to handle data cleaning and integration tasks by leveraging human intelligence tasks (HITs).
	True
	Crowdsourcing leverages humans to do difficult work, using HITs, and can be used for data cleaning and integration, including labeling unlabeled data.
	T/F 139
	Data Reduction
	The possible combinations of subspaces grows exponentially as dimensionality increases.
	True
	The possible combinations of subspaces will grow exponentially in high dimensions.
	T/F 140
	Data Reduction
	Dimensionality reduction techniques inherently allow for easier visualization of high-dimensional data.
	True
	Dimensionality reduction allows for easier visualization of the data.
	T/F 141
	Data Reduction
	The Apriori property is the key principle behind the PCA algorithm.
	False
	The Apriori property is fundamental to Frequent Pattern Mining (like the Apriori algorithm).
	T/F 142
	Data Reduction
	One heuristic method for feature selection is to select the best single attribute based on attribute independence assumption, possibly chosen by significance tests.
	True
	Choosing the best single attribute under the attribute independence assumption (via significance tests) is a typical heuristic method.
	T/F 143
	Data Reduction
	Data sketches, such as sampling or histograms, are categorized as parametric methods of numerosity reduction.
	False
	Histograms and sampling are non-parametric methods of numerosity reduction, as they do not assume models.
	T/F 144
	Data Reduction
	Wavelet transforms preserve the relative distance between objects at different levels of resolution, which can help natural clusters become more distinguishable.
	True
	Data transformed by Wavelets preserve relative distance between objects, allowing natural clusters to become more distinguishable.
	T/F 145
	Data Reduction
	Equal-width partitioning for histograms means that the range of attribute values in each bucket is proportional to the frequency count.
	False
	Equal-width means equal bucket range. Equal-frequency (or depth) means the frequency count is approximately equal per bucket.
	T/F 146
	Transformation
	Centering data (subtracting the mean) and dividing by the standard deviation is primarily done to ensure that all features have the same range, like.
	False
	This process (Z-score normalization) ensures all features are "standardized" and avoids artifacts due to a large mean or deviation. Min-max normalization achieves the range.
	T/F 147
	Data Cleaning
	If customer income is missing in sales data because the data was considered unimportant at the time of entry, this would be classified as noisy data.
	False
	This is an example of incomplete (missing) data, where data was not entered.
	T/F 148
	Data Reduction
	The time complexity of solving K-means optimally (by enumerating all partitions) is NP-Hard.
	True
	Finding the optimal partition for K clusters is NP-Hard.
	T/F 149
	Data Reduction
	Dimensionality reduction refers to the reduction of the number of data points in a dataset.
	False
	Dimensionality reduction is the reduction of the number of attributes or features.
	T/F 150
	Data Reduction
	PCA and t-SNE can only be used when there are more than 1000 features in the data.
	False
	PCA and t-SNE are generally used for visualization or reduction regardless of the number of features, as long as the data is high-dimensional enough to warrant it.
	T/F 151
	Sampling
	Reservoir sampling is an effective technique that only works for static datasets, not data streams.
	False
	Reservoir sampling specifically works for data streams.
	T/F 152
	Sampling
	When sampling from data with class imbalance, simple random sampling often provides representative samples of the whole dataset.
	False
	Simple random sampling may have very poor performance in the presence of skew. Stratified sampling is preferred for imbalance.
	T/F 153
	Transformation
	The Fourier transform is useful as a data mining tool because the highest value in the Fourier domain indicates the main periodicity in the data.
	True
	The highest value in the Fourier domain is the main periodicity in our data.
	T/F 154
	Data Cleaning
	If we are dealing with missing data, we can use a machine learning model to predict and fill in the missing values (e.g., imputation).
	True
	Missing data may need to be inferred, often using methods like predicting the most probable value (inference-based).
	T/F 155
	Data Reduction
	If a high-dimensional data point is projected to a low-dimensional space using SVD, the SVD matrices must be computed only once on the training data and then applied to the test data.
	True
	When SVD is used for dimensionality reduction for k-NN, only the training data is decomposed, and the test data points are projected onto that SVD space.
	T/F 156
	Data Reduction
	The computational cost of the Haar Wavelet decomposition is O(NlogN).
	False
	The Haar Wavelet decomposition has complexity O(N).
	T/F 157
	Data Reduction
	The definition of a Max-Pattern states that an itemset X is a max-pattern if X is frequent and there exists at least one frequent super-pattern Y⊃X.
	False
	An itemset X is a max-pattern if it is frequent and there exists no frequent super-pattern Y⊃X.
	T/F 158
	Data Reduction
	Numerosity reduction methods include techniques like histograms and sampling.
	True
	Numerosity reduction includes non-parametric methods like histograms and sampling.
	T/F 159
	Transformation
	The goal of log normalization is generally to exaggerate small differences in low-count data.
	False
	Log normalization compresses the dynamic range of the data.
	T/F 160
	Data Cleaning
	An error such as Salary="−10" is an example of noisy data.
	True
	This is given as an example of noisy data (an error).
	T/F 161
	Data Reduction
	One of the goals of data reduction is to improve mining speed and quality because complex data analysis may take a very long time on the complete dataset.
	True
	Data reduction aims to obtain a reduced representation to improve performance, as complex analysis may take too long on the complete set.
	T/F 162
	Data Reduction
	The kernel trick allows SVMs to implicitly map data into a higher-dimensional space without explicitly computing the high-dimensional coordinates.
	True
	The kernel trick applies a kernel function k() to the dot product, eliminating the need to transform the actual data.
	T/F 163
	Data Reduction
	One approach for feature generation is attribute construction, which involves combining existing features to create new ones.
	True
	Attribute construction is a methodology for feature generation that often involves combining features.
	T/F 164
	Data Reduction
	For a time series, the discrete wavelet transform (DWT) captures both signal frequencies and the times when they occur.
	True
	DWT captures signal frequencies and times (i.e., localized) when they occur.
	T/F 165
	Data Reduction
	In sequential pattern mining, the Apriori property states that any superset of a frequent itemset must also be frequent.
	False
	The Apriori property states that any subset of a frequent itemset must be frequent, or equivalently, if an itemset is infrequent, all of its supersets must be infrequent.
	T/F 166
	Data Reduction
	For Gaussian noise models in linear regression, maximizing the log-likelihood is mathematically equivalent to minimizing the Least Mean Squares cost function.
	True
	Maximizing the log likelihood l(θ) is equivalent to minimizing the Least Mean Squares cost function J(θ) under the assumption of Gaussian IID noise.
	T/F 167
	Data Reduction
	In step-wise attribute elimination, the best single attribute is selected first.
	False
	Step-wise elimination repeatedly eliminates the worst attribute.
	T/F 168
	Data Reduction
	The time complexity of the Apriori algorithm is O(MN) where M is the number of distinct items and N is the max length of transactions.
	False
	MN is the worst-case number of itemsets that can be generated, which is exponential, not the complexity of the algorithm itself.
	T/F 169
	Data Reduction
	Min-max normalization is particularly effective at suppressing skew that may hide interesting patterns.
	False
	Log normalization is often used to suppress skew.
	T/F 170
	Data Reduction
	In the context of the Iris dataset in the assignments, PCA showed worse separability of the classes than t-SNE in the resulting 2D scatterplots.
	False
	Both PCA and t-SNE showed good separability in the visualization plots for the Iris dataset.
	Topic 4: Supervised Learning I (Regression, Classification Intro, DTs) (70 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 171
	Regression
	Linear Regression is an unsupervised learning model used primarily to find clusters in data.
	False
	Linear Regression is a supervised learning model used for numerical prediction (regression).
	T/F 172
	Regression
	The hypothesis function for linear regression h
θ
​
(x) is defined as a linear combination of input features x
i
​
and parameters θ
i
​
.
	True
	The hypothesis h
θ
​
(x) is approximated as a linear function of x: h
θ
​
(x)=θ
0
​
+θ
1
​
x
1
​
+θ
2
​
x
2
​
+….
	T/F 173
	Regression
	In linear regression notation, the parameter θ
0
​
is often referred to as the bias term.
	True
	θ
0
​
is the bias term.
	T/F 174
	Regression
	The convention of setting x
0
​
=1 is used in linear regression to incorporate the bias term θ
0
​
into the vector product θ
T
x.
	True
	Setting x
0
​
=1 allows h(x) to be written as θ
T
x, incorporating θ
0
​
.
	T/F 175
	Regression
	The cost function J(θ) used in Linear Regression is the familiar least-squares cost function, aiming to minimize the sum of squared errors between predicted and actual values.
	True
	J(θ) is the cost function that measures the sum of squared errors (Least Mean Squares).
	T/F 176
	Regression
	The optimization problem posed by the linear regression cost function has multiple local optima.
	False
	The optimization problem for linear regression has only one global optimum and no other local optima.
	T/F 177
	Gradient Descent
	Gradient Descent is an optimization method that involves iteratively taking steps in a direction proportional to the negative of the gradient of the objective function.
	True
	Gradient Descent iteratively takes steps proportional to the negative of the gradient.
	T/F 178
	Gradient Descent
	The learning rate α in Gradient Descent determines the total number of iterations required for convergence.
	False
	The learning rate α determines the step size taken in the direction of the gradient.
	T/F 179
	Gradient Descent
	If the learning rate α is too large, the algorithm may converge faster but may also exhibit oscillations or a large residual error.
	True
	A large α means fast convergence but possible oscillations and larger residual error.
	T/F 180
	Gradient Descent
	Batch Gradient Descent (BGD) computes the parameter update based on a single training example at a time.
	False
	BGD looks at every example in the entire training set on every step.
	T/F 181
	Gradient Descent
	Stochastic Gradient Descent (SGD) is generally much more computationally expensive per step than Batch Gradient Descent when the dataset is very large.
	False
	SGD takes a step based on the gradient of a single training example, making it generally faster and more lightweight than BGD, which scans the entire dataset.
	T/F 182
	Gradient Descent
	The LMS update rule (Widrow-Hoff learning rule) states that the magnitude of the update is inversely proportional to the error term.
	False
	The magnitude of the update is proportional to the error term (y
(i)
−h
θ
​
(x
(i)
)).
	T/F 183
	Gradient Descent
	Batch Gradient Descent and Stochastic Gradient Descent have the same computational cost per parameter update.
	False
	BGD scans the entire training set for one update, while SGD uses only one example, so SGD is faster per update.
	T/F 184
	Decision Trees
	Decision Tree Induction is a bottom-up, non-recursive classification method.
	False
	Decision Tree Induction is constructed in a top-down recursive divide-and-conquer manner.
	T/F 185
	Decision Trees
	The splitting criteria used in decision tree induction are based on heuristics or statistical measures, such as information gain.
	True
	Test attributes are selected based on a heuristic or statistical measure (e.g., information gain).
	T/F 186
	Decision Trees
	A decision tree stops partitioning when all samples for a given node belong to the same class.
	True
	This is one of the stopping conditions for partitioning.
	T/F 187
	Decision Trees
	The primary goal of splitting criteria like Information Gain is to minimize the "impurity" of the resulting node partitions.
	True
	The goal is to create a "pure" set of data points. Entropy quantifies uncertainty/impurity, and information gain seeks to reduce it.
	T/F 188
	Decision Trees
	Entropy is a measure that quantifies uncertainty in a distribution, where high entropy corresponds to high purity.
	False
	High entropy corresponds to high uncertainty/impurity.
	T/F 189
	Decision Trees
	Information Gain (ID3) measures how informative a split is by calculating the difference between the entropy of the parent node and the average entropy of the children nodes.
	True
	Information gained by branching on attribute A is calculated as Gain(A)=Info(D)−Info
A
​
(D).
	T/F 190
	Decision Trees
	If a decision tree encounters a continuous-valued attribute, it determines the best split point by sorting the values and testing midpoints between adjacent values as potential split points.
	True
	For continuous-valued attributes, the values are sorted, and the midpoint between adjacent values is considered a possible split point.
	T/F 191
	Decision Trees
	The Information Gain criterion is biased towards attributes that have a small number of distinct values.
	False
	Information gain is biased towards attributes with a large number of values, such as a unique ID field.
	T/F 192
	Decision Trees
	The Gain Ratio (used in C4.5) attempts to overcome the bias of Information Gain by normalizing it using the "entropy" of the split itself (SplitInfo(A)).
	True
	C4.5 uses Gain Ratio to normalize Information Gain using SplitInfo(A).
	T/F 193
	Decision Trees
	The Gini Index (used in CART) aims to minimize impurity, where impurity is calculated based on the relative frequency of each class in the dataset.
	True
	gini(D) is defined based on the relative frequency p
j
​
of class j in D.
	T/F 194
	Decision Trees
	CART (Classification and Regression Trees) creates multi-way splits based on multiple features simultaneously.
	False
	CART creates binary decision trees, and each split is based on a single feature (univariate splits).
	T/F 195
	Decision Trees
	The Minimum Description Length (MDL) principle prefers the simplest solution, aiming to minimize the number of bits required to encode the tree and the errors.
	True
	MDL principle, related to Occam's Razor, prefers the simplest solution, specifically minimizing bits to encode the tree and the errors.
	T/F 196
	Decision Trees
	Decision trees are unpopular because they are difficult to convert into simple and easy-to-understand classification rules.
	False
	Decision trees are popular because they are convertible to simple and easy-to-understand classification rules.
	T/F 197
	Regression
	Linear Regression can only be applied when there is a single feature x
1
​
predicting the target variable y.
	False
	Linear regression can handle multiple features (e.g., x
1
​
,x
2
​
,…x
n
​
).
	T/F 198
	Regression
	The core idea of linear regression using gradient descent is that the parameters are estimated by minimizing the sum of squared errors.
	True
	Linear regression minimizes the sum of squared errors between the actual value and the predicted one (Least Mean Squares).
	T/F 199
	Gradient Descent
	If the convergence tolerance tol is reached in gradient descent, it means the maximum number of iterations has been met.
	False
	Convergence is met when either max_iter is reached OR the relative improvement in cost is not greater than the tolerance tol.
	T/F 200
	Decision Trees
	If a decision tree node still contains samples from different classes, partitioning must stop if there are no remaining attributes for further splitting.
	True
	If no attributes remain, the algorithm stops and uses the majority vote for the leaf.
	T/F 201
	Decision Trees
	Decision tree training follows a generally greedy procedure.
	True
	Decision tree induction uses a basic (greedy) algorithm.
	T/F 202
	Decision Trees
	The Information Gain criterion measures the reduction in entropy between the parent node and the children nodes.
	True
	Information gain measures how informative a split is by calculating the reduction in entropy (uncertainty).
	T/F 203
	Decision Trees
	The Gini Index aims to maximize the purity of the resulting partition D
′
(reduction in impurity Δgini(A)) when splitting on attribute A.
	True
	The objective is to minimize gini(D
A
​
) or maximize the reduction in impurity Δgini(A)=gini(D)−gini
A
​
(D).
	T/F 204
	Decision Trees
	Decision trees cannot handle continuous or numerical features and only work with categorical features.
	False
	Decision trees can handle continuous-valued attributes by determining a best split point (midpoint).
	T/F 205
	Gradient Descent
	If the learning rate in gradient descent is too small, the algorithm will likely converge quickly to the optimal solution.
	False
	A small α leads to slow convergence.
	T/F 206
	Gradient Descent
	If the learning rate is too high, gradient descent may oscillate between two different points around the optimal solution.
	True
	A large α can lead to oscillations.
	T/F 207
	Regression
	If the objective function value in linear regression starts increasing significantly, it might suggest that the learning rate is set too high.
	True
	A large learning rate can cause oscillations or divergence, preventing the loss function from stabilizing or minimizing.
	T/F 208
	Classification
	The core goal of supervised learning is to learn a mapping between a data point (in feature space) and a target variable, such that this mapping generalizes to unseen data.
	True
	Supervised learning aims to learn a model that can generalize to unseen examples based on labeled training data.
	T/F 209
	Classification
	Supervised learning is a trivial task because we can simply learn a look-up table between data points and their label.
	False
	Generalization to unseen data is the key challenge, which a simple look-up table would not achieve.
	T/F 210
	Regression
	If you include the number of bedrooms (x
2
​
) as an input feature alongside living area (x
1
​
) in a linear regression model predicting housing prices, the coefficient θ
2
​
will necessarily be positive.
	False
	In the source example, θ
2
​
(for the number of bedrooms) was found to be −8.738.
	T/F 211
	Regression
	The derivation of the gradient for J(θ) for a single training example (x,y) requires calculating the derivative of
2
1
​
(h
θ
​
(x)−y)
2
with respect to θ
j
​
.
	True
	This derivative calculation is shown in the derivation steps.
	T/F 212
	Gradient Descent
	Stochastic Gradient Descent can start making progress right away, whereas Batch Gradient Descent must scan the entire training set before taking its first step.
	True
	BGD scans the entire training set before a single step; SGD makes progress with each example it sees.
	T/F 213
	Gradient Descent
	In the context of large datasets, SGD usually gets θ close to the minimum much slower than BGD.
	False
	SGD often gets θ "close" to the minimum much faster than BGD.
	T/F 214
	Decision Trees
	In the process of determining a split point for a continuous attribute, typically the maximum value of the attribute is used as the optimal split point.
	False
	The midpoint between each pair of adjacent sorted values is considered a possible split point.
	T/F 215
	Decision Trees
	Decision trees are highly valued because they often produce comparable classification accuracy to other methods while maintaining faster learning speed.
	True
	Decision trees have relatively faster learning speed and comparable classification accuracy with other methods.
	T/F 216
	Regression
	The choice of the Least Mean Squares cost function in linear regression is fundamentally decided by the underlying assumption that the noise term ϵ
(i)
is independent, identically distributed (IID) according to a Gaussian distribution.
	True
	Assuming Gaussian IID noise leads directly to the optimization objective of minimizing J(θ), the LMS function.
	T/F 217
	Regression
	If Linear Regression is successful, the residual errors y
(i)
−h
θ
​
(x
(i)
) should ideally follow a Bernoulli distribution.
	False
	The underlying probabilistic assumption is that the error term ϵ
(i)
follows a Gaussian distribution.
	T/F 218
	Gradient Descent
	Gradient ascent, which maximizes an objective function, uses the update rule θ
j
​
:=θ
j
​
+α
∂θ
j
​
∂
​
J(θ).
	True
	Gradient ascent involves moving in the positive direction of the gradient: θ:=θ+α∇
θ
​
l(θ).
	T/F 219
	DT Evaluation
	If a model is too simple for a given task, we run the risk of underfitting.
	True
	Underfitting occurs when the model is too simple.
	T/F 220
	DT Evaluation
	Overfitting can be conceptually studied as a function of model complexity.
	True
	Overfitting is explicitly shown as increasing with model complexity in the bias-variance tradeoff figures.
	T/F 221
	DT Evaluation
	Prepruning involves halting tree construction early if splitting a node results in the goodness measure falling below a threshold, but it can be difficult to choose the appropriate threshold.
	True
	Prepruning halts construction early based on a threshold, and difficulty lies in choosing an appropriate threshold.
	T/F 222
	DT Evaluation
	Postpruning involves removing branches from a "fully grown" tree and requires a separate set of data (hold-out set) to decide the best pruned tree.
	True
	Postpruning removes branches from a fully grown tree and uses data different from the training set to select the best pruned tree.
	T/F 223
	DT Evaluation
	In the general strategy against overfitting, training should stop when the performance on the hold-out set begins to deteriorate, even if performance on the training data continues to improve.
	True
	Stop training when accuracy/performance starts deteriorating for the hold-out set.
	T/F 224
	Decision Trees
	The Gini index is a clustering evaluation metric and is not used in decision tree classification.
	False
	The Gini Index is used in CART for decision tree splitting.
	T/F 225
	Decision Trees
	If a nominal feature has values {low, medium, high}, an admissible subset for a split using CART is {low, medium, high}.
	False
	The subset {low, medium, high} and the empty set are excluded because they are not useful splits.
	T/F 226
	Regression
	The LMS update rule (for linear regression) and the stochastic gradient ascent update rule (for logistic regression) are mathematically identical in form, although the hypothesis function h
θ
​
(x) differs.
	True
	The update rules look identical, but h
θ
​
(x) is non-linear for Logistic Regression.
	T/F 227
	Complexity
	The P complexity class contains all problems that can be solved in polynomial time using a deterministic Turing machine.
	True
	P contains problems solvable in polynomial time using a deterministic machine.
	T/F 228
	Complexity
	The RSA algorithm relies on the fact that factorizing a large integer into prime factors is a problem belonging to the NP complexity class.
	True
	The RSA algorithm is based on the fact that prime factorization is NP-hard.
	T/F 229
	Complexity
	Non-convex optimization, like that often found in deep learning, is an example of an NP-hard problem.
	True
	Non-convex optimization is NP-hard.
	T/F 230
	Complexity
	The Longest Common Subsequence problem is classified as being NP-Complete or NP-Hard.
	True
	Longest Common Subsequence is listed as a popular NP problem.
	T/F 231
	Regression
	When plotting the convergence of gradient descent, if a learning rate is too low, the cost function may never reach its minimum within a reasonable number of iterations.
	True
	A small α means slow convergence, potentially stopping due to max iterations before reaching the minimum.
	T/F 232
	Regression
	The linear regression cost function J(θ) is an example of a convex optimization problem.
	True
	Linear regression is an example of convex optimization.
	T/F 233
	Regression
	The calculation of the gradient descent update for the j-th parameter, θ
j
​
, depends on all input features x
i
​
, including those where i
=j.
	False
	The derivative
∂θ
j
​
∂
​
J(θ) zeros out all terms θ
i
​
x
i
​
for i
=j because they are constant with respect to θ
j
​
.
	T/F 234
	Decision Trees
	The Information Gain criterion measures uncertainty using a measure quantified information-theoretically (Entropy).
	True
	Uncertainty is quantified information-theoretically using Entropy.
	T/F 235
	Decision Trees
	For a nominal attribute with K distinct values, the CART algorithm needs to examine all 2
K
−2 possible partitions into two subsets D
1
​
and D
2
​
.
	True
	For categorical attributes, the CART algorithm needs to examine all partitions into two subsets D
1
​
and D
2
​
.
	T/F 236
	Regression
	The Least Mean Squares (LMS) algorithm is also known as the Widrow-Hoff learning rule.
	True
	The LMS update rule is also known as the Widrow-Hoff learning rule.
	T/F 237
	Regression
	If y is discrete-valued (e.g., 0 or 1), it is generally acceptable to use linear regression to predict y given x.
	False
	It is easy to construct examples where linear regression performs poorly for discrete outcomes, and h
θ
​
(x) should not take values outside for classification.
	T/F 238
	Regression
	The calculation of the cost function J(θ) in linear regression requires iterating over all m training examples.
	True
	J(θ)=
2m
1
​
∑
i=1
m
​
(h
θ
​
(x
(i)
)−y
(i)
)
2
requires summing over all m training examples.
	T/F 239
	DT Evaluation
	Underfitting typically occurs when the model complexity is too high relative to the underlying data structure.
	False
	Underfitting is associated with models that are too simple.
	T/F 240
	DT Evaluation
	The Bias-Variance Tradeoff illustrates that highly complex models tend to have high bias and low variance.
	False
	More complex models have lower bias but higher variance.
	Topic 5: Supervised Learning II (Bayes, k-NN, Logistic Regression, Regularization) (70 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 241
	Bayesian Classif.
	The Bayesian classifier calculates the posterior probability $P(H
	X)$, which is the probability that a hypothesis holds given the observed data X.
	True
	T/F 242
	Bayesian Classif.
	P(H) in Bayes' theorem refers to the likelihood function.
	False
	P(H) is the prior probability, while $P(X
	T/F 243
	Bayesian Classif.
	A practical difficulty in using the standard Bayes Rule is the computational complexity of determining the joint probability $P(X
	C_i)$.
	True
	T/F 244
	Bayesian Classif.
	The Naïve Bayes classifier assumes that features are marginally independent of each other.
	False
	Naïve Bayes assumes features are conditionally independent given the class.
	T/F 245
	Bayesian Classif.
	In practice, the conditional independence assumption of Naïve Bayes is usually accurate, especially in domains like credit card fraud detection.
	False
	The assumption is approximate and often inaccurate (e.g., features in credit card fraud are typically dependent), but it works surprisingly well in practice and simplifies computation.
	T/F 246
	Bayesian Classif.
	In order to train the Naïve Bayes classifier, we primarily need to compute the conditional probability $P(X_k
	C_i)$ for every feature X
k
​
and class C
i
​
, and the prior probability P(C
i
​
) for every class.
	True
	T/F 247
	Bayesian Classif.
	For continuous features, $P(X_k
	C_i)isoftenmodeledusingaGaussiandistributioncalculatedfromthemean(\mu)andstandarddeviation(\sigma$) of the examples for that feature within class C
i
​
.
	True
	T/F 248
	Bayesian Classif.
	The zero probability problem in Naïve Bayes occurs if the product of conditional probabilities results in a value of zero, thereby zeroing out the entire posterior probability estimate.
	True
	If any conditional probability $P(X_k
	T/F 249
	Bayesian Classif.
	Laplacian correction (or Laplacian estimator) solves the zero probability problem by subtracting 1 from the frequency count of each case.
	False
	Laplacian correction solves the problem by adding 1 to each case count.
	T/F 250
	Bayesian Classif.
	The core decision of the Bayes Classifier is to select the class C
i
​
that maximizes the prior probability P(C
i
​
).
	False
	The classifier selects the class C
i
​
that maximizes the posterior probability $P(C_i
	T/F 251
	Bayesian Classif.
	The Bayesian classifier computes the probability of the data given the hypothesis that they belong to a certain class holds, $P(X
	H)$.
	False
	T/F 252
	Bayesian Classif.
	Naïve Bayes performs fine even if we have a few zero probabilities because of the multiplication property.
	False
	Zero probabilities cause the product $P(X
	T/F 253
	k-NN
	k-Nearest Neighbors (k-NN) is an example of an eager learning method.
	False
	k-NN is a lazy learning or instance-based method that delays processing until a test instance is given.
	T/F 254
	k-NN
	Instance-based learning (lazy learning) is generally faster during training but slower during classification compared to eager learning.
	True
	Lazy methods spend less time in training but more time in predicting/classification.
	T/F 255
	k-NN
	In the vanilla k-NN algorithm, the label assigned to a test point is determined by taking the average of the labels of the k nearest neighbors.
	False
	The vanilla k-NN returns the majority label of the k nearest neighbors for classification.
	T/F 256
	k-NN
	The distance-weighted k-NN approach assigns equal weight to all k nearest neighbors regardless of their distance to the test point.
	False
	Distance-weighted k-NN weighs neighbors according to their distance, downplaying the labels of neighbors that are farther away.
	T/F 257
	k-NN
	For real-valued prediction (regression), the k-NN approach returns the mean value of the k nearest neighbors.
	True
	k-NN for real-valued prediction returns the mean values of the k nearest neighbors.
	T/F 258
	k-NN
	If the distance function used in k-NN is a metric, the Triangle Inequality property can be leveraged to speed up distance computations by eliminating some data points.
	True
	If using a metric, the Triangle Inequality property can be used to accelerate/approximate computations and eliminate points.
	T/F 259
	k-NN
	The Curse of Dimensionality implies that in high-dimensional space, the distance between neighbors can be dominated by irrelevant attributes, negatively impacting k-NN performance.
	True
	The distance between neighbors can be dominated by irrelevant attributes in high dimensions.
	T/F 260
	k-NN
	Dimensionality reduction techniques like PCA are irrelevant to k-NN performance since k-NN uses distance measures directly.
	False
	Dimensionality reduction techniques can be used to mitigate the Curse of Dimensionality and improve k-NN performance.
	T/F 261
	Logistic Regression
	Logistic Regression is a regression method designed to predict continuous-valued output.
	False
	Logistic Regression is used when we want to "regress" variables to a binary classification output.
	T/F 262
	Logistic Regression
	The logistic function g(z)=1/(1+e
−z
) is also known as the sigmoid function.
	True
	g(z) is called the logistic function or the sigmoid function.
	T/F 263
	Logistic Regression
	The derivative of the sigmoid function g
′
(z) is g(z)(1−g(z)).
	True
	This is a useful property derived in the sources.
	T/F 264
	Logistic Regression
	When training Logistic Regression, the objective function is maximized using gradient descent.
	False
	Since Logistic Regression maximizes the likelihood (or log-likelihood), it uses gradient ascent.
	T/F 265
	Logistic Regression
	Logistic Regression learns the probability $P(Y
	X)$ directly, unlike Naïve Bayes, which learns P(Y) and $P(X
	Y)$.
	T/F 266
	Regularization
	Regularization techniques are generally used to increase the complexity of a model to better fit the training data.
	False
	Regularization constrains a model to a less complex solution to avoid overfitting.
	T/F 267
	Regularization
	Regularization is typically expressed as an additional term $ \lambda \cdot r(\theta) $ added to the objective/loss function, penalizing large parameter values.
	True
	Regularization is expressed as Original Loss Function+λ⋅r(θ), penalizing large parameters.
	T/F 268
	Regularization
	Ridge regression utilizes L
1
​
norm regularization to shrink coefficients towards zero.
	False
	Ridge regression uses L
2
​
norm regularization.
	T/F 269
	Regularization
	Lasso regression utilizes L
1
​
norm regularization, which encourages sparsity by driving some coefficients exactly to zero.
	True
	Lasso uses the L
1
​
norm penalty, which is more likely to intersect the error contours on the axes, resulting in exactly 0 coefficients (sparsity).
	T/F 270
	Regularization
	Ridge regression (L2 penalty) is also known as weight decay, particularly in neural networks.
	True
	Penalizing by the sum-of-squares of parameters (L
2
​
penalty) is known as weight decay in neural networks.
	T/F 271
	Regularization
	L1 norm regularization (Lasso) is a convex relaxation of the L
0
​
"pseudonorm," which counts the number of non-zero entries in a vector.
	True
	L
1
​
norm is a convex relaxation of the L
0
​
"pseudonorm" (number of non-zero entries).
	T/F 272
	Regularization
	The λ parameter in regularization determines the maximum number of iterations the algorithm can run.
	False
	λ is the complexity parameter that controls the amount/intensity of regularization/shrinkage.
	T/F 273
	Regularization
	If λ=0 in the regularization term, the model defaults back to minimizing the original loss function.
	True
	If λ=0, the regularization term disappears, defaulting to the original loss.
	T/F 274
	k-NN
	Instance-based learning methods generally offer less flexibility with respect to decision boundaries compared to model-based learning.
	False
	Lazy learning (instance-based) offers more flexibility because it uses many local functions to form an implicit global approximation, compared to eager learning which commits to a single hypothesis.
	T/F 275
	k-NN
	When comparing instance-based and model-based learning, efficiency during training and flexibility of decision boundaries are important dimensions to consider.
	True
	Efficiency (time spent in training/prediction) and flexibility of decision boundaries are key comparative dimensions.
	T/F 276
	Bayesian Classif.
